Time,Sequence,Ownship_ID,Target_ID,Mode,UF,Range,Azimuth,Elevation,Closing_Velocity,Relative_Velocity
1,1,TARGET_1,TARGET_2,MODE_S,UF11,185.39388057929526,-93.57802119494758,0.0,-2.532461820114865,12.421199999999999;-3.3140999999999963;0.0
2,2,TARGET_1,TARGET_2,MODE_S,UF11,185.38163011517616,-93.58135468290709,0.0,-2.5317285216901233,12.421199999999999;-3.3140999999999963;0.0
3,3,TARGET_1,TARGET_2,MODE_S,UF11,185.36965355138364,-93.5815863728075,0.0,-2.531677554384129,12.421199999999999;-3.3140999999999963;0.0
4,4,TARGET_1,TARGET_2,MODE_S,UF11,185.35615427627428,-93.57875039280854,0.0,-2.5323014123954444,12.421199999999999;-3.3140999999999963;0.0
5,5,TARGET_1,TARGET_2,MODE_S,UF11,185.34480219118637,-93.58206722487694,0.0,-2.531571776078178,12.421199999999999;-3.3140999999999963;0.0
6,6,TARGET_1,TARGET_2,MODE_S,UF11,185.33292544132573,-93.58229707522247,0.0,-2.531521213312609,12.421199999999999;-3.3140999999999963;0.0
7,7,TARGET_1,TARGET_2,MODE_S,UF11,185.32067578230445,-93.58563194226008,0.0,-2.5307876005208327,12.421199999999999;-3.3140999999999963;0.0
8,8,TARGET_1,TARGET_2,MODE_S,UF11,185.3086992745079,-93.58586398481113,0.0,-2.530736554873191,12.421199999999999;-3.3140999999999963;0.0
9,9,TARGET_1,TARGET_2,MODE_S,UF11,185.2958245320169,-93.58611346400843,0.0,-2.530681673396131,12.421199999999999;-3.3140999999999963;0.0
10,10,TARGET_1,TARGET_2,MODE_S,UF11,185.28447382606024,-93.58943182714144,0.0,-2.529951681434769,12.421199999999999;-3.3140999999999963;0.0
11,11,TARGET_1,TARGET_2,MODE_S,UF11,185.27159913383917,-93.5896815868928,0.0,-2.5298967375533814,12.421199999999999;-3.3140999999999963;0.0
12,12,TARGET_1,TARGET_2,MODE_S,UF11,185.25962267912024,-93.58991395271106,0.0,-2.5298456200668014,12.421199999999999;-3.3140999999999963;0.0
13,13,TARGET_1,TARGET_2,MODE_S,UF11,185.24737445437654,-93.59325064299311,0.0,-2.5291115866011227,12.421199999999999;-3.3140999999999963;0.0
